checkname,school,hospital,park,retail
渡口村委会,30,6,4,33
新段居委会,30,8,0,30
刘圩村委会,30,8,1,61
徐洼村委会,30,8,3,48
沙祠村委会,30,11,0,30
沧州村委会,30,11,2,66
张港泾村委会,30,11,8,67
正仪村委会,30,12,19,46
新楼村委会,30,14,0,44
湖鹤村委会,30,14,3,70
姚绳村委会,30,16,0,36
高长村委会,30,16,9,97
顾庄村委会,31,7,1,38
新段居委会,31,8,0,31
宅基村委会,31,8,16,55
商郝村委会,31,10,0,39
城里村委会,31,10,0,55
漕湖村委会,31,15,14,61
天汾镇村委会,31,19,2,54
港南村委会,31,24,6,57
史店村委会,32,9,3,28
圣牛村委会,32,11,1,80
花园村委会,32,13,1,51
戴溇村委会,32,13,9,55
甘露居委会,32,18,4,47
城北社区居委会,33,4,0,29
湖滨居委会,33,6,81,34
一里王村委会,33,8,0,45
李寨村委会,33,9,0,33
蚕桑村委会,33,12,0,49
凌城社区居委会,33,13,0,50
洛涧村村民委员会,33,15,7,75
沙圩社区居委会,33,16,4,88
长丰村委会,33,27,6,59
墩后村委会,34,4,0,31
桃北村委会,34,8,0,36
青南村委会,34,9,0,33
赵市村委会,34,20,7,61
叶家港村委会,35,11,1,88
王庄社区居委会,35,15,2,66
车路坝村委会,35,15,3,66
倪庄社区居委会,35,16,0,34
灵峰村委会,35,17,5,67
朝东圩港村委会,35,27,6,61
双湾村委会,36,13,2,94
大家港村委会,36,13,2,94
石桥村委会,36,13,6,102
三义村委会,36,14,1,96
直塘社区居委会,36,15,1,66
高作社区,36,23,0,54
大同村委会,37,12,4,106
梁集社区居委会,37,18,0,31
岸山村委会,38,6,8,64
川南村委会,38,11,1,87
商湖村委会,38,19,1,72
南村坝村委会,38,21,4,74
柳园村委会,39,10,0,32
胜利村委会,39,11,3,76
庄楼社区居委会,39,13,0,41
龙降桥村委会,39,20,4,73
竹园村委会,40,12,0,54
肖桥村委会,40,13,0,48
新州村委会,40,15,3,79
夏庙村委会,40,16,0,39
张家港村委会,41,23,3,64
山前村委会,42,7,0,38
姜灶社区居委会,42,13,0,141
曹庄社区居委会,42,15,0,27
厍港村委会,42,16,1,82
恬庄村委会,42,22,3,124
清水村委会,42,22,3,128
新华居委会,43,12,4,95
半泾村委会,43,13,3,82
夏圩村委会,43,19,1,71
农联村委会,43,23,3,63
界东社区居委会,44,11,1,119
红卫村委会,44,13,3,94
洪泾村委会,44,14,3,85
红星居委会,44,17,2,80
高南社区居委会,44,22,0,58
海前村委会,45,11,2,68
湖稍村委会,45,14,4,95
黄土塘村委会,45,16,9,79
郑庄村委会,46,8,0,55
耿车居委会,46,11,3,119
海后村委会,46,13,1,64
利泰社区居委会,46,14,3,83
沙集社区居委会,46,17,4,98
河东村委会,47,8,0,54
五星村委会,47,14,4,107
大众村委会,47,16,4,95
朝东圩港村委会,47,25,2,80
聚沙村委会,47,25,9,84
中鲈村委会,49,14,8,52
姚湾村委会,49,22,4,71
莲港村委会,50,14,6,68
斜桥村委会,50,15,2,56
琴东村委会,50,16,10,116
山联村委会,50,19,5,86
永联村委会,50,25,2,80
新厍村委会,51,8,14,110
查林村村民委员会,51,9,7,73
洋渚村村民委员会,51,17,1,55
石浦村委会,52,7,69,46
石浦村委会,52,7,69,47
史堡村委会,52,9,0,75
新湖村委会,52,14,6,87
滕庄社区居委会,52,21,1,57
安家村村委会,53,7,0,97
安家村村委会,53,7,0,97
光明村委会,53,15,7,78
双浜村委会,54,13,2,58
金桥社区居委会,54,16,5,57
义成村委会,55,11,2,176
浦庄村委会,55,14,2,115
光华社区居委会,55,16,4,47
东陈村委会,55,18,3,70
马舍村委会,56,12,5,105
南朱村委会,56,14,3,72
雁伦村委会,56,14,3,72
港东村委会,56,15,16,57
帅垛村委会,57,10,0,83
东湖塘居委会,57,10,6,91
中迎村委会,57,14,3,71
戴家村委会,57,14,3,73
北姜村委会,58,9,2,73
董墅村村委会,58,13,11,108
双隆村委会,58,15,3,74
三皇庙村村委会,58,16,10,118
湖桥村委会,58,17,5,110
潜洛村村民委员会,58,17,6,80
魏桥村委会,59,18,0,62
鸳鸯桥村委会,59,21,12,108
枪堂村委会,60,11,10,97
傅楼社区居委会,61,18,4,49
永安村委会,62,14,4,149
张万村委会,63,11,0,100
叶家村村委会,63,17,1,120
叶家村村委会,64,17,1,117
川港社区居委会,65,11,1,137
凤凰泾村委会,66,13,6,126
三和村委会,66,17,8,115
向阳村委会,66,31,5,69
德积村委会,66,31,5,79
飞达村委会,67,9,2,133
双沐村委会,67,12,2,103
双桥村委会,68,12,1,229
泾新村委会,69,13,6,98
高楼村委会,69,28,2,61
聚金村委会,70,11,6,100
姜川村委会,70,12,1,228
董北村委会,70,12,2,99
庄基村委会,70,13,8,127
渭西村委会,70,14,6,107
马楼村委会,70,24,2,83
新弄村委会,71,12,1,129
李巷村委会,71,23,7,99
九龙村村委会,72,9,1,88
陈巷村委会,72,13,10,150
陈巷村委会,72,13,10,153
望海台村委会,73,10,1,206
陆渡村委会,73,22,4,116
中天村委会,74,6,2,159
九龙村村委会,74,9,1,85
陈祁村委会,76,13,3,104
澄湖村委会,76,14,6,97
三张社区居委会,76,22,1,84
界西社区居委会,77,16,2,146
景湖社区居委会,77,21,6,58
长丰村委会,77,23,7,100
塍里村村民委员会,78,24,7,80
建新村村民委员会,79,22,12,76
周行社区居委会,79,25,4,95
安庆村委会,79,28,4,144
生田村委会,81,16,16,149
杨市社区居委会,81,19,16,98
桃园村村委会,81,19,16,102
西望村村民委员会,82,21,7,86
燕巷村委会,83,18,5,151
夏楼村委会,84,15,4,71
淼泉社区居委会,84,25,7,120
恬庄村委会,84,28,4,147
和甸村委会,85,17,7,146
双桥村村民委员会,85,20,4,73
新生村委会,86,20,8,103
川埠村村民委员会,87,17,9,105
张缪舍村委会,87,25,11,120
新明村委会,88,16,6,115
秦圩村委会,88,30,9,112
金桥村委会,89,14,3,177
塘坊村委会,89,18,4,204
高新村委会,89,18,10,90
三洞桥村村民委员会,89,20,8,83
东陆村村委会,90,8,1,114
合丰社区居委会,90,16,9,136
言里村委会,90,17,4,138
磨框镇村委会,91,7,2,234
东陆村村委会,91,8,1,112
苏家埭村委会,91,18,3,150
大船港村委会,91,24,6,114
龙王村委会,92,24,17,98
凌龙村委会,92,30,9,115
志浩村委会,93,9,2,261
廊下村委会,93,19,5,92
三合口村委会,94,9,2,255
东桥村村委会,94,16,2,113
任墅村村民委员会,94,18,11,93
大市村委会,95,18,7,134
小康村委会,95,26,11,149
大市村委会,96,18,7,137
渭南村委会,97,16,6,124
合丰社区居委会,97,16,9,134
骑河村委会,97,18,7,128
东桥村村委会,98,16,2,115
紫砂村村民委员会,98,22,10,114
大港村村民委员会,99,16,15,102
骑路社区居委会,101,34,1,78
金槐村委会,102,22,20,103
兴华村委会,102,23,12,121
前徐社区居委会,104,22,10,77
大唐村委会,105,23,6,149
东莱村委会,105,26,3,101
新塘村委会,106,13,20,169
边庄村村民委员会,107,16,2,109
石塘湾社区居委会,107,22,5,114
闸上村委会,107,26,3,101
联群社区居委会,108,20,8,74
大唐村委会,108,23,6,149
蜀山社区居民委员会,108,25,9,120
项路村委会,109,26,5,156
邵村社区居委会,111,23,12,142
杨市社区居委会,112,22,5,115
邵村社区居委会,112,23,12,142
环湖村委会,115,9,28,91
川北村委会,115,13,2,215
阳澄湖村委会,116,11,17,117
福前村委会,116,37,10,169
双庙村村民委员会,117,24,18,132
志南村委会,120,14,2,274
环湖村委会,121,9,28,90
长山村委会,121,30,8,134
杨集村委会,122,25,9,119
石塘湾社区居委会,125,25,13,153
阳澄湖村委会,126,11,17,117
东莱村委会,127,37,10,170
张家港村委会,128,30,8,133
查桥村委会,129,23,16,166
周圩村委会,132,23,3,137
双熟村委会,132,25,11,173
前王村村委会,134,27,6,213
周楼社区居委会,135,27,2,113
颜巷村委会,136,22,47,207
孙家桥村委会,136,33,4,230
李巷村委会,137,38,4,148
湖东村委会,148,39,20,192
三庙村委会,151,35,8,232
湖里村社区居委会,152,32,8,115
固村巷村村委会,160,20,22,142
银洋河村委会,160,22,10,128
固村巷村村委会,161,20,22,143
宝岩村委会,161,39,117,151
花园村委会,162,23,10,137
安基村村委会,162,25,20,181
张庄村委会,168,24,22,218
闸上村委会,173,36,9,187
胡湾村委会,174,34,22,176
东莱社区居委会,180,36,9,187
仝圩社区居委会,182,29,5,120
陶炉社区居委会,186,47,6,173
建华村委会,190,36,37,260
荷花村委会,192,27,15,179
渠中村委会,193,32,15,230
戴庄村村委会,198,26,22,221
万红社区居委会,198,34,18,163
新镇村委会,200,28,19,273
坛丘村委会,205,27,13,201
堰头村委会,205,37,4,92
新桥村委会,207,46,24,240
东莱社区居委会,208,34,18,162
姚圩社区居委会,209,29,1,117
堰头村委会,211,37,4,94
新镇村委会,212,28,19,271
新卫村委会,216,35,10,186
毛桥村委会,217,36,15,171
新村社区居委会,217,51,21,134
吴庄村委会,218,45,19,194
东郊村委会,221,56,21,131
花溪社区居委会,226,32,15,188
方浜村委会,228,28,24,218
大庄村委会,231,30,24,171
青莲村委会,239,42,23,299
新村社区居委会,240,45,8,235
光明村委会,246,36,7,196
元和村委会,248,45,64,285
安定村委会,249,47,29,297
郑庄村委会,252,48,10,246
新李村委会,254,47,5,123
梦兰村委会,258,52,58,313
戈庄村委会,265,56,35,328
景龙村委会,270,46,10,223
高党社区居委会,280,41,14,153
勤丰村委会,283,53,41,218
小仝社区居委会,286,37,6,168
新东居委会,288,69,9,173
十六里墩村委会,290,46,15,203
新东居委会,293,69,9,170
双庄社区居委会,294,45,3,167
杨韩社区居委会,303,51,5,181
东门社区居委会,303,74,6,237
贯庄村委会,304,30,5,244
新村居委会,311,66,7,203
黎明村委会,313,46,26,203
湖泾村委会,316,57,68,312
东风社区居委会,316,80,12,231
新村居委会,317,66,7,195
田吴居委会,323,76,9,208
五里堂社区居委会,330,55,3,190
花园浜社区居委会,332,64,88,333
姚富村委会,334,58,17,192
大湖甸村委会,336,65,116,293
东升社区居委会,338,51,7,211
田吴居委会,338,76,9,218
何家塘村村委会,339,34,35,233
勤新村委会,343,50,108,294
何家塘村村委会,346,34,35,231
泯泾村委会,347,55,14,234
苏源社区居委会,362,55,10,203
望东村委会,364,27,6,260
南陈村委会,367,74,9,249
南陈村委会,369,74,9,246
西蔡村委会,373,27,6,262
和堂村委会,388,37,3,287
花厅社区居委会,389,84,9,209
农联村委会,398,56,27,275
甸桥村委会,404,76,121,325
福前村委会,412,56,27,282
英疃村委会,414,36,6,284
八里社区居委会,421,90,21,368
常福社区居委会,460,77,131,301
城北社区居委会,491,81,14,280
张付社区居委会,516,78,15,290
天平村委会,523,39,20,443
果园居委会,546,103,14,382
万红社区居委会,555,73,46,390
和平社区居委会,1262,159,54,583
民主社区居委会,1500,205,69,697
