checkname,school,hospital,park,retail
马坪村委会,109,33,7,134
五峰村委会,109,34,10,145
杏埔村委会,109,36,9,149
上方村委会,110,29,10,237
龙下村委会,110,33,6,155
马坪村委会,110,33,7,138
高坑村委会,110,34,10,140
高坑村委会,110,34,10,143
庵前村委会,110,38,6,236
鹤前村委会,111,33,6,171
秀山村委会,111,38,23,124
兰圃村委会,112,24,13,131
上方村委会,112,29,10,237
秀山村委会,112,38,23,121
福林村委会,112,39,21,207
沟尾村委会,113,16,4,228
陈坝村委会,113,29,6,173
福塘村委会,113,32,5,51
福林村委会,114,39,21,209
洋尾村委会,114,49,5,198
洋尾村委会,115,49,5,196
溪头村委会,116,14,8,82
南前村委会,117,10,3,118
横塘村委会,117,17,5,236
锦峯村委会,117,29,6,170
溪边村委会,118,11,8,150
泗滨村委会,118,14,8,82
鼎诚村委会,118,17,2,105
沙堤村委会,118,19,5,246
后格村委会,118,28,8,236
过溪村委会,118,28,8,238
江口村委会,119,10,2,160
溪头村委会,119,14,8,82
华中村委会,119,15,5,155
员宅村委会,119,28,8,233
里春村委会,120,25,13,156
中溪村委会,124,9,6,130
莲桥村委会,124,15,10,70
鹤林村委会,124,20,8,66
鹤林村委会,124,20,8,68
东沙村委会,124,22,6,145
岐头村委会,127,16,7,73
安后村委会,127,25,6,97
坝津村委会,128,13,2,169
岩前村委会,128,25,6,91
后山村委会,129,10,5,148
瑶台村委会,131,16,4,237
鸿坪村委会,132,25,6,102
湖北村委会,133,33,15,268
前山村委会,134,15,10,69
泉山社区居委会,134,16,5,114
潘湖村委会,134,45,4,212
双岭村委会,135,9,9,144
下房村委会,135,22,2,227
山前村委会,136,48,6,350
岩前村委会,137,22,0,99
潘湖村委会,137,45,4,220
湖北村委会,139,33,15,261
山前村委会,139,48,6,349
七境社区居委会,140,17,5,269
山美村委会,140,31,7,223
榕西村委会,143,26,14,127
尧山村委会,143,32,7,266
霞皋村委会,144,6,6,215
埔美山村委会,144,36,11,83
和平村委会,147,19,5,277
梅元村委会,148,18,13,150
井后村委会,148,22,6,284
浦口社区居委会,148,31,5,159
和平村委会,150,20,5,271
壶井村委会,157,27,24,180
港头村委会,160,20,14,113
大元村委会,161,29,15,124
桃源村委会,166,35,13,279
玉埕村委会,167,15,2,149
黄屋村委会,167,29,10,106
黄岭村委会,169,15,2,155
关口村委会,169,28,15,140
山前村委会,169,29,15,142
洽浦村委会,170,29,18,152
后埔村委会,171,40,8,298
后埔村委会,173,40,8,303
官田村委会,174,61,8,238
桥头村委会,175,35,10,356
官田村委会,176,61,8,245
桥头村委会,177,35,10,361
长福村委会,177,38,6,242
英山村委会,178,36,14,359
泗滨村委会,179,36,14,358
水头村委会,181,36,14,349
松岭村委会,181,36,14,355
桥内村委会,181,36,14,357
邱钟村委会,181,36,14,367
东山村委会,182,36,14,353
西山村委会,183,31,6,108
高岐村委会,187,7,11,177
浔中村委会,188,40,14,253
四黄村委会,190,46,7,342
前蔡村委会,190,46,11,401
乐陶村委会,191,40,14,253
后所村委会,192,37,14,232
乐陶村委会,192,37,14,244
美星村委会,197,8,6,272
沙堤村委会,197,14,18,177
前蔡村委会,197,46,11,395
后蔡村委会,198,39,13,212
金锁社区居委会,198,39,14,275
英山村委会,199,39,14,274
厝柄村委会,200,26,9,341
丁墘村委会,201,39,14,279
沙头村委会,202,18,6,87
浔中村委会,202,40,14,282
布塘村委会,203,14,17,111
锦宅村委会,203,23,11,214
世科村委会,204,40,14,279
后蔡村委会,205,39,13,199
宝美村委会,209,40,14,284
衍后村委会,209,41,20,193
锦亭村委会,209,43,13,398
蔗洲村委会,210,13,21,179
黄竹坑村委会,210,22,14,183
凤洋村委会,210,40,14,280
前进村委会,211,13,12,227
丁溪村委会,212,42,14,281
后港村委会,213,18,7,116
三班村委会,213,42,14,291
扬美村委会,213,53,23,240
屿头村委会,214,27,8,188
高阳村委会,215,40,14,278
中标村委会,215,49,16,191
马保村委会,217,10,17,201
黄竹坑村委会,218,22,14,187
上塘村委会,220,21,9,270
前园村委会,221,27,8,184
康美村委会,223,53,23,243
露江村委会,224,46,20,185
前园村委会,226,25,7,196
后垵村委会,227,15,16,290
西园村委会,227,30,51,154
仙苑村委会,230,25,7,205
林口村委会,230,25,7,208
前埔村委会,230,47,11,397
田址村委会,231,40,24,206
丰州村委会,231,47,19,346
前埔村委会,232,47,11,400
塘头村委会,233,53,17,464
金锁社区居委会,234,55,23,207
宝美村委会,234,55,23,210
丁溪村委会,235,55,23,209
雪上村委会,235,76,15,526
中美村委会,236,18,19,220
西园村委会,237,30,51,155
雅兴村委会,237,62,11,214
世科村委会,239,55,23,207
美岐村委会,243,23,20,270
玉湖村委会,245,29,7,199
玉湖村委会,246,29,7,219
深青村委会,247,19,25,238
旦厝村委会,250,47,15,393
古厝村委会,251,47,15,401
顶许村委会,257,19,16,254
李林村委会,258,24,15,265
岐安村委会,260,17,12,217
埔锦村委会,260,68,14,575
旦厝村委会,261,47,15,406
埔锦村委会,266,68,14,561
梅亭社区居委会,267,55,23,261
接待村委会,270,22,6,211
东风村委会,271,22,6,214
北斗村委会,272,31,10,264
古厝村委会,273,42,9,389
勤内村委会,274,71,12,238
南梧塘村委会,275,26,12,477
新丰村委会,284,47,13,369
新丰村委会,288,47,13,376
内山尾村委会,288,47,13,381
内山尾村委会,291,47,13,373
东风村委会,299,34,7,233
