checkname,school,hospital,park,retail
下埠村委会,18,7,2,25
金家站村委会,18,7,2,62
赵家上村委会,18,7,3,39
赐绯庙村委会,18,9,4,13
湖田村委会,19,5,2,17
上杨村委会,19,6,1,28
紫荆村委会,19,6,2,14
裘家村委会,19,6,2,57
东池村村委会,19,16,4,74
安全村村委会,19,18,5,73
孝源村委会,20,5,0,30
对石村委会,20,9,2,26
三塘头村委会,20,12,2,40
新泽村委会,20,12,2,41
阮家埠村委会,20,12,3,10
秦沙村村民委员会,20,18,4,51
十二都村委会,21,4,1,17
光明村委会,21,8,4,24
银湾村委会,21,8,4,77
小营头村村民委员会,21,11,2,63
沈村委会,21,14,4,25
永联村村委会,21,20,4,69
永丰村村委会,21,20,6,53
下宅张村委会,22,5,0,6
后林村委会,22,7,0,10
下界溪村委会,22,7,0,23
东谢村委会,22,7,0,23
横山前村委会,22,7,1,21
白牛村委会,22,8,2,32
孝村村委会,22,8,5,29
许宅村委会,22,9,0,19
溪沿村委会,22,9,4,17
大舜村委会,22,10,1,53
建林村委会,22,13,3,55
朗海村委会,22,14,3,53
假山村委会,22,15,4,52
光明村村委会,22,16,5,57
虹桥村委会,22,17,8,105
暨南村委会,22,18,2,53
红星村村委会,22,18,4,93
吉字浜村村委会,22,18,6,54
大庄村村委会,22,18,7,71
永乐村委会,22,20,4,39
亭头村委会,23,5,0,7
象塘夏楼村委会,23,5,3,20
下陈岙村委会,23,6,0,7
埭下村委会,23,6,1,20
防军村委会,23,6,3,47
夏屠村委会,23,7,3,44
凤珍村委会,23,12,4,44
孙家桥村委会,23,12,5,31
勾里村委会,23,12,5,33
新长乐村委会,23,13,6,24
黄务洋村委会,24,4,0,9
大横村委会,24,5,0,22
龙山村村民委员会,24,7,2,33
上江村委会,24,7,3,35
后村村委会,24,8,0,19
南峰村委会,24,9,4,18
管村委会,24,9,4,33
旧埭村村民委员会,24,17,3,62
下店村委会,25,5,1,16
朗树前村委会,25,6,0,16
湖头村委会,25,8,0,24
朝阳东村委会,25,8,6,38
湘山村委会,25,10,0,30
西杨龙社区,25,11,4,11
沈家弄村村民委员会,25,11,5,49
汇丰村村委会,25,13,4,81
庄安村委会,25,15,4,75
晓墅社区居委会,25,16,2,29
建五村委会,25,21,1,64
牌门陈村委会,26,4,0,14
塘西村委会,26,5,5,32
三官村委会,26,6,3,57
竹溪村委会,26,8,4,24
许宅村委会,26,9,1,26
后余村委会,26,10,5,34
山下湖社区,26,14,5,22
大齐塘村村民委员会,26,15,4,58
东田村村委会,26,17,6,108
三长村委会,26,18,4,35
坝桥村村委会,26,18,4,109
青石村村委会,26,18,4,111
南庄村村委会,26,20,4,47
小安村委会,26,21,1,64
双溪村委会,27,4,2,84
北山村村委会,27,8,1,28
大云村委会,27,9,1,47
天长村委会,27,11,5,30
夜明村村委会,27,15,6,94
义马村村委会,27,17,7,93
马鸣村村委会,27,17,43,41
众安村村委会,27,20,2,55
屈家浜村村委会,27,21,8,65
海星村村委会,27,22,2,47
塘西社区居民委员会,28,5,5,32
海南村委会,28,9,1,47
湘溪村村委会,28,13,6,76
天皇殿村委会,28,15,6,66
白彪村委会,28,15,6,66
牌楼村村民委员会,28,18,3,79
星光村村民委员会,28,21,5,69
幸福村委会,28,32,6,59
朱村村委会,29,7,3,28
船埠头村委会,29,10,4,37
前流村委会,29,11,0,33
西谷村委会,29,11,0,33
张思村委会,29,11,0,34
楼家社区,29,11,3,43
民丰村委会,29,11,4,90
上宅村委会,29,12,0,16
东横上宅村委会,29,12,0,16
木城村委会,29,16,3,79
虹路村委会,29,16,3,81
全备村委会,29,16,3,83
羔羊村村委会,29,16,5,73
鱼山村委会,30,6,0,18
市集村委会,30,6,0,27
杏村委会,30,6,1,22
下保宅前村委会,30,8,0,29
潴口溪村委会,30,9,5,52
陈岙村委会,30,10,3,48
全宅村委会,30,11,0,33
东山村委会,30,11,0,33
毛陈村委会,30,11,0,33
王新村委会,30,11,0,33
徐丰村委会,30,11,0,33
前村村委会,30,11,0,54
金马村委会,31,7,3,28
新庄村村民委员会,31,9,2,68
刘家塘村委会,31,12,3,55
大陈一村委会,31,17,3,95
城郊村村委会,31,17,7,76
西南村村委会,31,19,2,93
黄务村委会,32,5,0,22
杨砩头村委会,32,6,1,24
崇益村村委会,32,10,6,78
勾里村委会,32,14,7,39
高桥村委会,32,14,7,39
樟皇村委会,32,30,0,34
八里桥村委会,32,36,4,81
项家村委会,33,6,0,27
浦口村委会,33,7,0,21
石埠村委会,33,8,0,13
湖塘村委会,33,9,0,13
狮古桥村委会,33,12,4,54
寺前王村委会,33,14,0,63
魏家村委会,33,15,5,45
民主村村民委员会,33,17,6,61
平塘村村委会,33,19,8,62
镇东新村委会,33,23,1,49
湖其园村委会,34,6,2,51
南塘村委会,34,10,8,28
楂林一村委会,34,16,3,96
新东吴村委会,34,16,4,48
虹霓村村民委员会,34,18,9,62
小安村委会,34,23,1,49
五六二村委会,34,25,5,68
杜桥村村民委员会,35,5,3,43
大三村委会,35,7,0,34
金岭村委会,35,7,2,74
前岸村委会,35,8,2,47
后陈村委会,35,8,3,24
凤巢村委会,35,8,5,22
建国村委会,35,11,6,63
新兴港村委会,35,12,2,84
金山村委会,35,13,2,45
中喻村委会,35,13,3,28
海塘村村民委员会,35,18,4,62
西关田村委会,35,21,2,99
大横金村委会,36,5,0,21
八一村委会,36,7,0,23
西垟村委会,36,7,2,42
五百村委会,36,8,0,22
中喻村委会,36,13,3,30
留良村村委会,36,14,5,73
新闸村委会,36,15,2,49
腰塘村委会,36,15,2,50
博陆村委会,36,24,7,62
红界村委会,36,25,4,62
大黄徐村委会,37,6,0,20
严畈村委会,37,8,0,21
岩下桥村委会,37,8,0,21
后泾村委会,37,13,1,33
韩浜村委会,37,16,1,39
新屯南村委会,37,16,1,43
溪西村委会,37,16,3,102
春林村委会,37,16,3,103
李孟宅村委会,37,16,3,104
北庄村委会,37,24,7,59
陆家桥村委会,37,24,7,62
大陆村委会,37,24,7,63
鸭兰村委会,37,24,7,64
良渚村委会,37,24,7,65
荀山村委会,37,24,7,65
万景村委会,37,24,7,65
龙旋村委会,37,24,7,66
勤联村委会,37,26,3,59
世安桥村委会,37,29,2,84
芳田村委会,38,9,0,25
连具塘村委会,38,12,2,35
西门外村委会,38,13,8,64
里宅村委会,38,14,1,65
团结村委会,38,16,3,101
长泠江村委会,38,18,0,66
三头村委会,38,24,5,44
栅庄桥村委会,38,24,7,62
四维村委会,38,24,7,63
云会村委会,38,24,7,63
西塘河村委会,38,24,7,63
东新村委会,38,24,7,64
石桥村委会,38,24,7,64
行宫塘村委会,38,24,7,64
勾庄村委会,38,24,7,64
运河村委会,38,24,7,65
小洋坝村委会,38,24,7,67
港南村委会,38,24,7,67
龙头场村委会,39,13,8,61
大安村委会,39,24,7,60
南庄兜村委会,39,24,7,62
沿山村委会,39,24,7,68
山头洋村委会,40,8,0,26
新创村委会,40,9,0,32
上桥村委会,40,10,1,46
建华村委会,40,16,5,73
红旗村委会,40,18,3,103
下余山村委会,40,20,2,76
安溪村委会,40,24,7,62
三家村委会,40,24,7,63
向阳村委会,40,24,7,64
九龙村委会,40,24,7,66
双陈村委会,40,24,7,69
陡北村委会,41,17,3,61
望海村委会,41,20,3,85
田丰村委会,41,21,2,75
沙堰村村委会,41,21,5,54
山市村委会,41,22,1,82
七贤桥村委会,41,24,7,62
民围村委会,41,25,6,92
焦下村委会,42,9,7,96
吴山前村委会,42,13,0,40
小路下村委会,42,19,3,81
东联村委会,42,26,4,70
新兰村委会,43,7,2,23
湄池社区,43,9,4,76
八里桥头村委会,43,18,7,113
前傅村委会,43,19,3,110
广口村委会,43,20,2,78
富塘下村委会,43,23,2,89
深塘村委会,43,23,2,90
官一村委会,43,29,5,82
西洋头村委会,44,7,0,40
八岱村委会,44,7,2,23
南峰村委会,44,7,3,54
友谊村委会,44,7,3,54
三阳村委会,44,9,5,61
雀嘴村委会,44,10,0,44
长乐村委会,44,16,8,121
渔溪村委会,44,17,1,63
高村村委会,44,23,3,86
斗门村委会,44,23,6,106
小南村委会,45,7,2,23
岗下村委会,45,7,2,23
笕川村村民委员会,45,9,1,52
龙头场村委会,45,15,8,71
东门外村委会,45,15,8,73
佛陇村委会,45,26,2,95
螺蛳桥村委会,45,27,6,105
西宋村委会,46,7,2,23
陈庄村委会,46,7,2,23
沙埠村村委会,46,7,6,78
北山村村民委员会,46,8,2,39
茅洋村委会,46,23,8,90
瓶窑村委会,47,5,2,24
桐浦村委会,47,7,2,23
高潮村村民委员会,47,8,2,36
五里泾村委会,47,14,1,21
镇东新村委会,47,17,5,55
东海村委会,47,21,0,108
度爿村委会,47,25,4,34
兴旺村委会,47,28,6,106
张潭村委会,47,40,4,94
